customerID,Genero,Idoso,Casado,Dependents,Tempo_como_Cliente,ServicoTelefonico,Servico_Internet,Servico_Seguranca,Suporte_Tecnico,StreamingTV,Tipo_Contrato,MetodoPagamento,Pagamento_Mensal,Total_Pago,Churn
7590-VHVEG,FEMALE,0,Yes,No,1,No,DSL,No,No,No,Month-to-month,Electronic check,29.85,29.85,No
5575-GNVDE,MALE,0,No,No,34,Yes,DSL,Yes,No,No,One year,Mailed check,56.95,1889.5,No
3668-QPYBK,MALE,0,No,No,2,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,53.85,108.15,Yes
7795-CFOCW,MALE,0,No,No,45,No,DSL,Yes,Yes,No,One year,Bank transfer (automatic),,1840.75,No
8191-XWSZG,F,0,No,No,52,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,,1022.95,No
9959-WOFKT,MALE,0,No,Yes,71,Yes,Fiber optic,Yes,No,Yes,Two year,Bank transfer (automatic),,7382.25,No
4190-MFLUW,F,0,Yes,Yes,10,Yes,DSL,No,Yes,No,Month-to-month,Credit card (automatic),,528.35,Yes
4183-MYFRB,F,0,No,No,21,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,,1862.9,No
8779-QRDMV,MALE,1,No,No,1,No,DSL,No,No,No,Month-to-month,Electronic check,,39.65,Yes
1680-VDCWW,MALE,0,Yes,No,12,Yes,No,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),,202.25,No
1066-JKSGK,MALE,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,,20.15,Yes
3638-WEABW,FEMALE,0,Yes,No,58,Yes,dsl,No,Yes,No,Two year,Credit card (automatic),,3505.1,No
6322-HRPFA,MALE,0,Yes,Yes,49,Yes,dsl,Yes,Yes,No,Month-to-month,Credit card (automatic),,2970.3,No
6865-JZNKO,FEMALE,0,No,No,30,Yes,dsl,Yes,No,No,Month-to-month,Bank transfer (automatic),,1530.6,No
6467-CHFZW,M,0,Yes,Yes,47,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,,4749.15,Yes
8665-UTDHZ,M,0,Yes,Yes,1,No,DSL,No,No,No,Month-to-month,Electronic check,,30.2,Yes
5248-YGIJN,M,0,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),,6369.45,No
8773-HHUOZ,FEMALE,0,No,Yes,17,Yes,DSL,No,No,Yes,Month-to-month,Mailed check,,1093.1,Yes
3841-NFECX,FEMALE,1,Yes,No,71,Yes,Fiber optic,Yes,Yes,No,Two year,Credit card (automatic),,6766.95,No
4929-XIHVW,MALE,1,Yes,No,2,Yes,Fiber optic,No,No,Yes,Month-to-month,Credit card (automatic),,181.65,No
6827-IEAUQ,FEMALE,0,Yes,Yes,27,Yes,DSL,Yes,Yes,No,One year,Mailed check,,1874.45,No
7310-EGVHZ,MALE,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),,20.2,No
3413-BMNZE,MALE,1,No,No,1,Yes,DSL,No,No,No,Month-to-month,Bank transfer (automatic),,45.25,No
6234-RAAPL,FEMALE,0,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,Two year,Bank transfer (automatic),,7251.7,No
6047-YHPVI,MALE,0,No,No,5,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,,316.9,Yes
6572-ADKRS,FEMALE,0,No,No,46,Yes,Fiber optic,No,No,No,Month-to-month,Credit card (automatic),,3548.3,No
5380-WJKOV,MALE,0,No,No,34,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,,3549.25,Yes
8168-UQWWF,FEMALE,0,No,No,11,Yes,Fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),,1105.4,Yes
8865-TNMNX,MALE,0,Yes,Yes,10,Yes,DSL,No,No,No,One year,Mailed check,,475.7,No
9489-DEDVP,FEMALE,0,Yes,Yes,70,Yes,DSL,Yes,No,Yes,Two year,Credit card (automatic),,4872.35,No
