Age,Income,Number of Children,Genero_encoded,Estado_Civil,Credit Score_High
36.0,85000.0,2,0,0,1
33.0,52500.0,0,1,1,0
40.0,130000.0,0,1,1,1
43.0,95000.0,0,1,1,1
49.0,65000.0,1,0,0,1
41.0,120000.0,0,1,1,1
26.0,45000.0,0,0,1,0
49.0,77500.0,1,0,0,1
52.0,135000.0,0,1,0,1
49.0,77500.0,1,0,0,1
37.0,72500.0,2,0,0,1
37.0,75000.0,2,0,0,1
53.0,122500.0,0,1,0,1
48.0,70000.0,1,0,0,1
52.0,130000.0,0,1,0,1
28.0,32500.0,0,0,1,0
41.0,110000.0,0,1,1,1
31.0,65000.0,0,1,1,0
27.0,37500.0,0,0,1,0
30.0,112500.0,2,1,0,1
44.0,87500.0,0,1,1,1
50.0,160000.0,0,1,0,1
50.0,150000.0,0,1,0,1
25.0,62500.0,0,0,1,0
50.0,162500.0,0,1,0,1
53.0,122500.0,0,1,0,1
30.0,117500.0,2,1,0,1
33.0,52500.0,0,1,1,0
25.0,55000.0,0,0,1,0
29.0,27500.0,0,0,1,0
28.0,32500.0,0,0,1,0
52.0,137500.0,0,1,0,1
31.0,60000.0,0,1,1,0
44.0,87500.0,0,1,1,1
36.0,95000.0,2,0,0,1
33.0,82000.0,1,0,0,1
25.0,55000.0,0,0,1,0
43.0,80000.0,0,1,1,1
39.0,60000.0,2,0,0,1
39.0,62500.0,2,0,0,1
40.0,125000.0,0,1,1,1
30.0,105000.0,2,1,0,1
48.0,82500.0,1,0,0,1
45.0,115000.0,3,0,0,1
30.0,117500.0,2,1,0,1
26.0,40000.0,0,0,1,0
42.0,110000.0,0,1,1,1
35.0,80000.0,1,0,0,1
45.0,105000.0,3,0,0,1
26.0,47500.0,0,0,1,0
35.0,90000.0,1,0,0,1
28.0,32500.0,0,0,1,0
30.0,112500.0,2,1,0,1
29.0,68000.0,2,0,0,0
32.0,57500.0,0,1,1,0
39.0,62500.0,2,0,0,1
51.0,150000.0,0,1,0,1
43.0,92500.0,0,1,1,1
53.0,127500.0,0,1,0,1
34.0,47500.0,0,1,1,0
46.0,97500.0,1,0,0,1
48.0,87500.0,1,0,0,1
25.0,60000.0,0,0,1,0
38.0,67500.0,2,0,0,1
30.0,105000.0,2,1,0,1
41.0,115000.0,0,1,1,1
31.0,70000.0,0,1,1,0
47.0,90000.0,1,0,0,1
48.0,82500.0,1,0,0,1
51.0,145000.0,0,1,0,1
42.0,105000.0,0,1,1,1
34.0,105000.0,1,1,0,1
43.0,92500.0,0,1,1,1
32.0,57500.0,0,1,1,0
32.0,85000.0,0,1,1,1
26.0,45000.0,0,0,1,0
30.0,100000.0,2,1,0,1
45.0,110000.0,3,0,0,1
50.0,155000.0,0,1,0,1
35.0,75000.0,1,0,0,1
31.0,65000.0,0,1,1,0
28.0,75000.0,0,1,1,0
35.0,85000.0,1,0,0,1
33.0,52500.0,0,1,1,0
36.0,85000.0,2,0,0,1
26.0,50000.0,0,0,1,0
28.0,32500.0,0,0,1,0
37.0,77500.0,2,0,0,1
38.0,67500.0,2,0,0,1
49.0,77500.0,1,0,0,1
45.0,105000.0,3,0,0,1
27.0,37500.0,0,0,1,0
40.0,142500.0,0,1,1,1
26.0,55000.0,1,0,0,0
44.0,75000.0,0,1,1,1
29.0,27500.0,0,0,1,0
35.0,90000.0,1,0,0,1
